Date,State,Channel,Product,Volume,Data Type
2022-07-01,OK,PHYSICAL,ILP,1963.0,Historical
2022-07-01,RI,DIGITAL,PDL,370.0,Historical
2022-07-01,RI,PHYSICAL,PDL,7810.0,Historical
2022-07-01,TN,DIGITAL,PDL,627.0,Historical
2022-07-01,TN,PHYSICAL,PDL,4151.0,Historical
2022-07-01,TX,DIGITAL,ILP,2274.0,Historical
2022-07-01,TX,DIGITAL,PDL,3567.0,Historical
2022-07-01,TX,PHYSICAL,ILP,5287.0,Historical
2022-07-01,TX,PHYSICAL,PDL,7977.0,Historical
2022-07-01,UT,DIGITAL,ILP,14.0,Historical
2022-07-01,UT,PHYSICAL,ILP,82.0,Historical
2022-07-01,WI,DIGITAL,ILP,178.0,Historical
2022-07-01,WI,PHYSICAL,ILP,658.0,Historical
2022-07-01,WY,DIGITAL,PDL,508.0,Historical
2022-07-01,WY,PHYSICAL,PDL,3160.0,Historical
2022-08-01,AL,DIGITAL,ILP,107.0,Historical
2022-08-01,AL,DIGITAL,PDL,1993.0,Historical
2022-08-01,AL,PHYSICAL,ILP,469.0,Historical
2022-08-01,AL,PHYSICAL,PDL,16776.0,Historical
2022-08-01,CA,DIGITAL,PDL,16644.0,Historical
2022-08-01,CA,PHYSICAL,PDL,64040.0,Historical
2022-08-01,CO,DIGITAL,ILP,413.0,Historical
2022-08-01,CO,PHYSICAL,ILP,2242.0,Historical
2022-08-01,DE,DIGITAL,ILP,44.0,Historical
2022-08-01,DE,PHYSICAL,ILP,277.0,Historical
2022-08-01,FL,DIGITAL,ILP,3420.0,Historical
2022-08-01,FL,DIGITAL,PDL,4846.0,Historical
2022-08-01,FL,PHYSICAL,ILP,17719.0,Historical
2022-08-01,FL,PHYSICAL,PDL,33372.0,Historical
2022-08-01,IA,DIGITAL,PDL,1192.0,Historical
2022-08-01,IA,PHYSICAL,PDL,10494.0,Historical
2022-08-01,ID,DIGITAL,ILP,37.0,Historical
2022-08-01,ID,PHYSICAL,ILP,126.0,Historical
2022-08-01,IN,DIGITAL,PDL,1991.0,Historical
2022-08-01,IN,PHYSICAL,PDL,18467.0,Historical
2022-08-01,KS,DIGITAL,PDL,454.0,Historical
2022-08-01,KS,PHYSICAL,PDL,2765.0,Historical
2022-08-01,KY,DIGITAL,PDL,5.0,Historical
2022-08-01,KY,PHYSICAL,PDL,8670.0,Historical
2022-08-01,LA,DIGITAL,PDL,2902.0,Historical
2022-08-01,LA,PHYSICAL,PDL,13825.0,Historical
2022-08-01,MI,DIGITAL,PDL,10365.0,Historical
2022-08-01,MI,PHYSICAL,PDL,41266.0,Historical
2022-08-01,MO,DIGITAL,ILP,262.0,Historical
2022-08-01,MO,DIGITAL,PDL,649.0,Historical
2022-08-01,MO,PHYSICAL,ILP,1527.0,Historical
2022-08-01,MO,PHYSICAL,PDL,3655.0,Historical
2022-08-01,MS,DIGITAL,ILP,257.0,Historical
2022-08-01,MS,DIGITAL,PDL,1016.0,Historical
2022-08-01,MS,PHYSICAL,ILP,1716.0,Historical
2022-08-01,MS,PHYSICAL,PDL,9610.0,Historical
2022-08-01,NV,DIGITAL,ILP,74.0,Historical
2022-08-01,NV,PHYSICAL,ILP,490.0,Historical
2022-08-01,OH,DIGITAL,ILP,1301.0,Historical
2022-08-01,OH,PHYSICAL,ILP,6011.0,Historical
2022-08-01,OK,DIGITAL,ILP,479.0,Historical
2022-08-01,OK,PHYSICAL,ILP,1976.0,Historical
2022-08-01,RI,DIGITAL,PDL,396.0,Historical
2022-08-01,RI,PHYSICAL,PDL,7641.0,Historical
2022-08-01,TN,DIGITAL,PDL,654.0,Historical
2022-08-01,TN,PHYSICAL,PDL,4087.0,Historical
2022-08-01,TX,DIGITAL,ILP,2307.0,Historical
2022-08-01,TX,DIGITAL,PDL,3169.0,Historical
2022-08-01,TX,PHYSICAL,ILP,5464.0,Historical
2022-08-01,TX,PHYSICAL,PDL,7442.0,Historical
2022-08-01,UT,DIGITAL,ILP,24.0,Historical
2022-08-01,UT,PHYSICAL,ILP,91.0,Historical
2022-08-01,WI,DIGITAL,ILP,183.0,Historical
2022-08-01,WI,PHYSICAL,ILP,753.0,Historical
2022-08-01,WY,DIGITAL,PDL,514.0,Historical
2022-08-01,WY,PHYSICAL,PDL,3233.0,Historical
2022-09-01,AL,DIGITAL,ILP,116.0,Historical
2022-09-01,AL,DIGITAL,PDL,2241.0,Historical
2022-09-01,AL,PHYSICAL,ILP,441.0,Historical
2022-09-01,AL,PHYSICAL,PDL,18299.0,Historical
2022-09-01,CA,DIGITAL,PDL,18084.0,Historical
2022-09-01,CA,PHYSICAL,PDL,68269.0,Historical
